Datum;Gästnätter i snitt per dag
2023-09-27;41 009
2023-09-28;39 191
2023-09-29;48 032
2023-09-30;54 585
2023-10-01;32 116
2023-10-02;33 107
2023-10-03;37 798
2023-10-04;39 132
2023-10-05;35 056
2023-10-06;45 806
2023-10-07;51 586
2023-10-08;25 578
2023-10-09;33 085
2023-10-10;37 312
2023-10-11;38 472
2023-10-12;36 137
2023-10-13;42 606
2023-10-14;48 241
2023-10-15;26 574
2023-10-16;34 985
2023-10-17;40 517
2023-10-18;42 074
2023-10-19;39 661
2023-10-20;43 508
2023-10-21;49 973
2023-10-22;24 808
2023-10-23;33 595
2023-10-24;39 080
2023-10-25;39 002
2023-10-26;35 123
2023-10-27;45 590
2023-10-28;55 142
2023-10-29;30 292
2023-10-30;32 890
2023-10-31;31 469
2023-11-01;33 205
2023-11-02;38 357
2023-11-03;49 068
2023-11-04;47 070
2023-11-05;20 410
2023-11-06;28 539
2023-11-07;35 077
2023-11-08;36 700
2023-11-09;34 331
2023-11-10;39 255
2023-11-11;45 532
2023-11-12;22 107
2023-11-13;30 755
2023-11-14;36 427
2023-11-15;39 201
2023-11-16;40 474
2023-11-17;49 325
2023-11-18;54 092
2023-11-19;25 413
2023-11-20;29 266
2023-11-21;34 745
2023-11-22;35 390
2023-11-23;33 218
2023-11-24;42 409
2023-11-25;47 457
2023-11-26;24 538
2023-11-27;30 213
2023-11-28;36 011
2023-11-29;35 050
2023-11-30;34 685
2023-12-01;45 491
2023-12-02;50 793
2023-12-03;24 135
2023-12-04;29 608
2023-12-05;34 615
2023-12-06;35 740
2023-12-07;34 589
2023-12-08;41 378
2023-12-09;44 693
2023-12-10;23 462
2023-12-11;27 910
2023-12-12;28 349
2023-12-13;29 196
2023-12-14;30 308
2023-12-15;32 101
2023-12-16;35 182
2023-12-17;19 885
2023-12-18;21 463
2023-12-19;21 289
2023-12-20;19 993
2023-12-21;19 010
2023-12-22;21 679
2023-12-23;23 013
2023-12-24;24 908
2023-12-25;22 996
2023-12-26;25 184
2023-12-27;30 049
2023-12-28;32 422
2023-12-29;35 984
2023-12-30;36 000
2023-12-31;46 351
2024-01-01;26 155
2024-01-02;25 735
2024-01-03;25 711
2024-01-04;24 786
2024-01-05;27 914
2024-01-06;25 521
2024-01-07;14 761
2024-01-08;19 071
2024-01-09;22 934
2024-01-10;26 604
2024-01-11;20 153
2024-01-12;25 977
2024-01-13;32 662
2024-01-14;18 436
2024-01-15;23 885
2024-01-16;29 257
2024-01-17;30 595
2024-01-18;26 053
2024-01-19;28 998
2024-01-20;33 865
2024-01-21;17 841
2024-01-22;26 655
2024-01-23;31 762
2024-01-24;32 683
2024-01-25;27 901
2024-01-26;34 963
2024-01-27;38 780
2024-01-28;18 051
2024-01-29;25 187
2024-01-30;30 556
2024-01-31;30 512
2024-02-01;25 443
2024-02-02;29 543
2024-02-03;36 758
2024-02-04;18 890
2024-02-05;28 232
2024-02-06;34 068
2024-02-07;35 297
2024-02-08;29 026
2024-02-09;31 333
2024-02-10;35 948
2024-02-11;20 819
2024-02-12;27 144
2024-02-13;31 818
2024-02-14;32 913
2024-02-15;30 751
2024-02-16;35 906
2024-02-17;41 033
2024-02-18;23 022
2024-02-19;27 368
2024-02-20;32 577
2024-02-21;35 542
2024-02-22;33 889
2024-02-23;37 426
2024-02-24;39 283
2024-02-25;19 862
2024-02-26;23 571
2024-02-27;25 027
2024-02-28;25 661
2024-02-29;24 865
2024-03-01;33 549
2024-03-02;36 568
2024-03-03;19 594
2024-03-04;27 329
2024-03-05;34 122
2024-03-06;31 687
2024-03-07;29 230
2024-03-08;40 367
2024-03-09;47 820
2024-03-10;21 270
2024-03-11;29 135
2024-03-12;36 415
2024-03-13;39 915
2024-03-14;33 036
2024-03-15;39 917
2024-03-16;42 861
2024-03-17;22 262
2024-03-18;31 399
2024-03-19;35 951
2024-03-20;36 871
2024-03-21;32 001
2024-03-22;36 297
2024-03-23;42 148
2024-03-24;23 484
2024-03-25;28 513
2024-03-26;27 334
2024-03-27;23 794
2024-03-28;29 549
2024-03-29;41 377
2024-03-30;42 060
2024-03-31;31 837
2024-04-01;22 070
2024-04-02;25 817
2024-04-03;27 815
2024-04-04;29 278
2024-04-05;36 112
2024-04-06;38 508
2024-04-07;20 559
2024-04-08;29 537
2024-04-09;35 645
2024-04-10;36 576
2024-04-11;33 527
2024-04-12;37 750
2024-04-13;42 084
2024-04-14;22 216
2024-04-15;31 954
2024-04-16;38 470
2024-04-17;39 355
2024-04-18;34 273
2024-04-19;42 031
2024-04-20;47 891
2024-04-21;23 980
2024-04-22;34 787
2024-04-23;42 398
2024-04-24;43 364
2024-04-25;40 705
2024-04-26;46 380
2024-04-27;52 904
2024-04-28;24 663
2024-04-29;26 981
2024-04-30;24 794
2024-05-01;26 137
2024-05-02;34 911
2024-05-03;44 724
2024-05-04;50 328
2024-05-05;26 064
2024-05-06;32 340
