"flight_date","total_landings"
"2021-02-17 00:00:00.000 Europe/Stockholm","108"
"2021-02-18 00:00:00.000 Europe/Stockholm","152"
"2021-02-19 00:00:00.000 Europe/Stockholm","132"
"2021-02-20 00:00:00.000 Europe/Stockholm","100"
"2021-02-21 00:00:00.000 Europe/Stockholm","132"
"2021-02-22 00:00:00.000 Europe/Stockholm","124"
"2021-02-23 00:00:00.000 Europe/Stockholm","92"
"2021-02-24 00:00:00.000 Europe/Stockholm","114"
"2021-02-25 00:00:00.000 Europe/Stockholm","146"
"2021-02-26 00:00:00.000 Europe/Stockholm","158"
"2021-02-27 00:00:00.000 Europe/Stockholm","324"
"2021-02-28 00:00:00.000 Europe/Stockholm","68"
"2021-03-01 00:00:00.000 Europe/Stockholm","67"
"2021-03-02 00:00:00.000 Europe/Stockholm","96"
"2021-03-03 00:00:00.000 Europe/Stockholm","60"
"2021-03-04 00:00:00.000 Europe/Stockholm","62"
"2021-03-05 00:00:00.000 Europe/Stockholm","150"
"2021-03-06 00:00:00.000 Europe/Stockholm","118"
"2021-03-07 00:00:00.000 Europe/Stockholm","158"
"2021-03-08 00:00:00.000 Europe/Stockholm","126"
"2021-03-09 00:00:00.000 Europe/Stockholm","94"
"2021-03-10 00:00:00.000 Europe/Stockholm","96"
"2021-03-11 00:00:00.000 Europe/Stockholm","130"
"2021-03-12 00:00:00.000 Europe/Stockholm","152"
"2021-03-13 00:00:00.000 Europe/Stockholm","100"
"2021-03-14 00:00:00.000 Europe/Stockholm","146"
"2021-03-15 00:00:00.000 Europe/Stockholm","129"
"2021-03-16 00:00:00.000 Europe/Stockholm","98"
"2021-03-17 00:00:00.000 Europe/Stockholm","112"
"2021-03-18 00:00:00.000 Europe/Stockholm","134"
"2021-03-19 00:00:00.000 Europe/Stockholm","160"
"2021-03-20 00:00:00.000 Europe/Stockholm","194"
"2021-03-21 00:00:00.000 Europe/Stockholm","72"
"2021-03-22 00:00:00.000 Europe/Stockholm","65"
"2021-03-23 00:00:00.000 Europe/Stockholm","157"
"2021-03-24 00:00:00.000 Europe/Stockholm","57"
"2021-03-25 00:00:00.000 Europe/Stockholm","145"
"2021-03-26 00:00:00.000 Europe/Stockholm","176"
"2021-03-27 00:00:00.000 Europe/Stockholm","106"
"2021-03-28 00:00:00.000 Europe/Stockholm","629"
"2021-03-29 00:00:00.000 Europe/Stockholm","87"
"2021-03-30 00:00:00.000 Europe/Stockholm","174"
"2021-03-31 00:00:00.000 Europe/Stockholm","78"
"2021-04-01 00:00:00.000 Europe/Stockholm","100"
"2021-04-02 00:00:00.000 Europe/Stockholm","201"
"2021-04-03 00:00:00.000 Europe/Stockholm","46"
"2021-04-04 00:00:00.000 Europe/Stockholm","135"
"2021-04-05 00:00:00.000 Europe/Stockholm","66"
"2021-04-06 00:00:00.000 Europe/Stockholm","132"
"2021-04-07 00:00:00.000 Europe/Stockholm","55"
"2021-04-08 00:00:00.000 Europe/Stockholm","128"
"2021-04-09 00:00:00.000 Europe/Stockholm","170"
"2021-04-10 00:00:00.000 Europe/Stockholm","110"
"2021-04-11 00:00:00.000 Europe/Stockholm","164"
"2021-04-12 00:00:00.000 Europe/Stockholm","149"
"2021-04-13 00:00:00.000 Europe/Stockholm","104"
"2021-04-14 00:00:00.000 Europe/Stockholm","134"
"2021-04-15 00:00:00.000 Europe/Stockholm","156"
"2021-04-16 00:00:00.000 Europe/Stockholm","260"
"2021-04-17 00:00:00.000 Europe/Stockholm","150"
"2021-04-18 00:00:00.000 Europe/Stockholm","89"
"2021-04-19 00:00:00.000 Europe/Stockholm","226"
"2021-04-20 00:00:00.000 Europe/Stockholm","65"
"2021-04-21 00:00:00.000 Europe/Stockholm","72"
"2021-04-22 00:00:00.000 Europe/Stockholm","229"
"2021-04-23 00:00:00.000 Europe/Stockholm","91"
"2021-04-24 00:00:00.000 Europe/Stockholm","187"
